epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.618,1.29618,3.54495,1.19758,0.0479,0.7848,0.67233,0.54811,0.84248,3.39582,0.89662,0.000248794,0.000248794,0.000248794
2,484.124,1.09461,1.88925,1.062,0.91552,0.22765,0.74897,0.48981,1.28522,2.86416,1.08038,0.000495126,0.000495126,0.000495126
3,725.332,1.00892,1.15185,1.01752,0.94863,0.87412,0.99406,0.84391,0.64364,1.33531,0.84729,0.000731307,0.000731307,0.000731307
4,955.7,0.88087,0.90334,0.96054,0.98283,1,0.995,0.86106,0.56764,0.72887,0.8325,0.000723321,0.000723321,0.000723321
5,1184.38,0.78152,0.76944,0.93917,0.98164,0.99323,0.995,0.86737,0.58084,0.63,0.83578,0.000708095,0.000708095,0.000708095
6,1413.71,0.73276,0.70293,0.91952,0.98901,0.99952,0.995,0.90171,0.47705,0.51952,0.80969,0.000692869,0.000692869,0.000692869
7,1645.32,0.68697,0.63282,0.90634,0.99541,1,0.995,0.90655,0.43051,0.464,0.80858,0.000677643,0.000677643,0.000677643
8,1876.57,0.61509,0.59483,0.88285,0.99122,1,0.995,0.88386,0.54087,0.45511,0.82335,0.000662417,0.000662417,0.000662417
9,2106.12,0.61045,0.5756,0.88167,0.9846,1,0.995,0.9112,0.40962,0.45957,0.80142,0.00064719,0.00064719,0.00064719
10,2337.13,0.58658,0.55179,0.87598,0.99583,1,0.995,0.9237,0.39036,0.4058,0.80096,0.000631964,0.000631964,0.000631964
11,2567.88,0.58212,0.54184,0.87896,0.99452,1,0.995,0.92213,0.3946,0.40925,0.79877,0.000616738,0.000616738,0.000616738
12,2798.27,0.55657,0.51716,0.87103,0.99452,1,0.995,0.94282,0.32018,0.35584,0.79062,0.000601512,0.000601512,0.000601512
13,3028.54,0.61749,0.5288,0.88295,0.98571,1,0.995,0.90966,0.46867,0.43574,0.80918,0.000586286,0.000586286,0.000586286
14,3259.14,0.5873,0.51488,0.87583,0.99513,1,0.995,0.93472,0.34712,0.36272,0.79158,0.000571059,0.000571059,0.000571059
15,3489.22,0.51576,0.48049,0.86082,0.99581,1,0.995,0.93667,0.33216,0.35232,0.78997,0.000555833,0.000555833,0.000555833
