epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9548.36,0.39837,0.27603,0.85058,0.99697,1,0.995,0.95126,0.29382,0.20621,0.77434,0.00172,0.00172,0.00172
44,9725.74,0.38811,0.27148,0.84177,0.99639,1,0.995,0.9517,0.27406,0.19194,0.77055,0.00166571,0.00166571,0.00166571
45,9902.81,0.39216,0.26836,0.84195,0.99668,1,0.995,0.95139,0.29019,0.1957,0.77217,0.00161143,0.00161143,0.00161143
46,10078.9,0.3797,0.26558,0.84304,0.99717,1,0.995,0.95573,0.28864,0.1907,0.76846,0.00155714,0.00155714,0.00155714
47,10254.7,0.39065,0.2734,0.84637,0.99697,1,0.995,0.95766,0.28557,0.19873,0.76545,0.00150286,0.00150286,0.00150286
48,10431.5,0.36324,0.25968,0.83757,0.99545,1,0.995,0.96021,0.27395,0.19641,0.76436,0.00144857,0.00144857,0.00144857
49,10608.7,0.36338,0.25675,0.83923,0.99482,1,0.995,0.95729,0.25977,0.19489,0.77521,0.00139429,0.00139429,0.00139429
50,10784.9,0.3726,0.26437,0.84357,0.99717,1,0.995,0.95848,0.29639,0.20064,0.77321,0.00134,0.00134,0.00134
51,10962.6,0.36726,0.25634,0.84173,0.99599,1,0.995,0.96307,0.2443,0.17242,0.76765,0.00128571,0.00128571,0.00128571
52,11139.6,0.37173,0.25463,0.83669,0.99614,1,0.995,0.96253,0.25379,0.1807,0.77053,0.00123143,0.00123143,0.00123143
53,11316.4,0.35887,0.24846,0.83652,0.99683,1,0.995,0.96317,0.28944,0.19044,0.77657,0.00117714,0.00117714,0.00117714
54,11494.9,0.34946,0.24415,0.83561,0.99713,1,0.995,0.95947,0.2448,0.16839,0.77126,0.00112286,0.00112286,0.00112286
55,11674.1,0.34629,0.24465,0.83842,0.99705,0.99966,0.995,0.95948,0.2415,0.16643,0.76939,0.00106857,0.00106857,0.00106857
56,11852.7,0.33278,0.23679,0.82999,0.99731,0.99927,0.995,0.95965,0.23878,0.17801,0.77875,0.00101429,0.00101429,0.00101429
57,12031.6,0.34245,0.23912,0.82993,0.99631,1,0.995,0.9595,0.25673,0.18635,0.76926,0.00096,0.00096,0.00096
58,12210.6,0.32995,0.23495,0.83178,0.99723,1,0.995,0.96141,0.25495,0.16372,0.7672,0.000905714,0.000905714,0.000905714
59,12385.3,0.32493,0.23256,0.829,0.99606,1,0.995,0.96285,0.22861,0.16699,0.77124,0.000851429,0.000851429,0.000851429
60,12560,0.31266,0.22553,0.8228,0.99793,1,0.995,0.95958,0.22642,0.16854,0.76689,0.000797143,0.000797143,0.000797143
61,12733.1,0.27164,0.19883,0.7949,0.99684,0.99951,0.995,0.96195,0.25058,0.17346,0.77474,0.000742857,0.000742857,0.000742857
62,12906.3,0.26444,0.18542,0.79122,0.99671,1,0.995,0.96299,0.24567,0.17056,0.77628,0.000688571,0.000688571,0.000688571
63,13079.7,0.26023,0.18404,0.7941,0.99705,1,0.995,0.96173,0.24193,0.15723,0.78244,0.000634286,0.000634286,0.000634286
64,13253.4,0.25732,0.18165,0.78679,0.99766,1,0.995,0.96506,0.23965,0.15662,0.7803,0.00058,0.00058,0.00058
65,13426.4,0.25413,0.1803,0.78596,0.99695,1,0.995,0.96209,0.27239,0.17225,0.77831,0.000525714,0.000525714,0.000525714
66,13599.7,0.25129,0.17599,0.78641,0.99776,1,0.995,0.96497,0.22841,0.15564,0.77106,0.000471429,0.000471429,0.000471429
67,13772.2,0.24232,0.1708,0.78534,0.99792,1,0.995,0.96429,0.22912,0.15176,0.77126,0.000417143,0.000417143,0.000417143
68,13954.8,0.23212,0.16557,0.78112,0.997,1,0.995,0.96157,0.23472,0.15124,0.77457,0.000362857,0.000362857,0.000362857
69,14128.6,0.22876,0.16198,0.77857,0.99736,0.99933,0.995,0.964,0.22719,0.15485,0.77126,0.000308571,0.000308571,0.000308571
70,14302.3,0.22212,0.15814,0.78336,0.99773,1,0.995,0.96401,0.21021,0.15421,0.76259,0.000254286,0.000254286,0.000254286
