epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.648,1.30476,2.46372,1.12949,0.00387,0.19686,0.05503,0.03217,1.36375,3.74903,1.17795,0.05743,0.00043,0.00043
2,922.071,1.09656,1.08036,1.05457,0.99706,0.35904,0.88643,0.73024,0.79361,2.22546,0.90778,0.0138528,0.000852774,0.000852774
3,1425.11,0.99141,0.82809,1.00954,0.91761,0.85584,0.9722,0.71786,1.09217,1.2765,1.00021,0.0009604,0.0009604,0.0009604
4,1877.78,0.9568,0.74009,0.99087,0.9411,0.99082,0.98925,0.77339,0.86497,0.63551,0.93374,0.0009406,0.0009406,0.0009406
5,2355.58,0.87123,0.66451,0.9688,0.96636,0.98808,0.99086,0.78398,1.02485,0.5965,0.96719,0.0009208,0.0009208,0.0009208
6,2842.71,0.82713,0.61721,0.95243,0.95958,0.99041,0.98504,0.83116,0.73293,0.55069,0.89686,0.000901,0.000901,0.000901
7,3339.04,0.81479,0.58795,0.94886,0.96258,0.99197,0.97823,0.90391,0.43725,0.44758,0.84533,0.0008812,0.0008812,0.0008812
8,3831,0.76768,0.5492,0.93648,0.97135,0.99033,0.98716,0.84885,0.69485,0.43186,0.88172,0.0008614,0.0008614,0.0008614
9,4307.74,0.75631,0.5363,0.93525,0.97822,0.98824,0.98599,0.93083,0.40859,0.36586,0.84161,0.0008416,0.0008416,0.0008416
10,4788.41,0.72358,0.50978,0.92407,0.98058,0.99348,0.99162,0.92383,0.42733,0.36801,0.84654,0.0008218,0.0008218,0.0008218
11,5283.21,0.71714,0.4959,0.9146,0.9766,0.98703,0.98209,0.90545,0.37164,0.36641,0.83008,0.000802,0.000802,0.000802
12,5750.54,0.72012,0.48692,0.92262,0.979,0.99286,0.98603,0.92894,0.38694,0.36487,0.84103,0.0007822,0.0007822,0.0007822
13,6289.35,0.70057,0.47812,0.91628,0.97411,0.99161,0.98541,0.91228,0.42601,0.33824,0.84064,0.0007624,0.0007624,0.0007624
14,6856.79,0.66442,0.46061,0.90592,0.95488,0.98853,0.98703,0.9299,0.40516,0.33523,0.84113,0.0007426,0.0007426,0.0007426
15,7676.94,0.65765,0.44158,0.90402,0.98209,0.99373,0.98946,0.95258,0.31665,0.30585,0.82458,0.0007228,0.0007228,0.0007228
16,8200.67,0.64109,0.43506,0.8998,0.97417,0.99515,0.991,0.94717,0.35681,0.31643,0.83183,0.000703,0.000703,0.000703
17,8790.77,0.62601,0.42389,0.89705,0.97101,0.978,0.98398,0.94227,0.32569,0.31978,0.82702,0.0006832,0.0006832,0.0006832
18,9409.27,0.62397,0.41987,0.89454,0.97987,0.99496,0.98489,0.94275,0.34541,0.31067,0.82803,0.0006634,0.0006634,0.0006634
19,10082.9,0.61884,0.41795,0.89805,0.97879,0.99203,0.97965,0.95443,0.29242,0.27179,0.82211,0.0006436,0.0006436,0.0006436
20,10744.9,0.63862,0.41423,0.89443,0.97549,0.99499,0.99062,0.96102,0.31221,0.28294,0.82298,0.0006238,0.0006238,0.0006238
21,11380.3,0.6081,0.40609,0.89554,0.97971,0.98197,0.99261,0.96248,0.32011,0.28219,0.83166,0.000604,0.000604,0.000604
22,12058.2,0.60861,0.40315,0.89405,0.98018,0.99548,0.98776,0.9625,0.29405,0.25607,0.82059,0.0005842,0.0005842,0.0005842
23,12710.1,0.6032,0.39366,0.88696,0.98096,0.99519,0.9908,0.96319,0.29746,0.25994,0.82364,0.0005644,0.0005644,0.0005644
24,13641.4,0.59124,0.39,0.88944,0.97946,0.98926,0.9915,0.97019,0.26119,0.24789,0.82083,0.0005446,0.0005446,0.0005446
