epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.763,1.31047,2.41848,1.18701,0.0011,0.15476,0.06816,0.02242,1.3499,4.21114,1.26943,0.067549,0.000228758,0.000228758
2,1393.33,1.10931,1.14085,1.09962,0.99413,0.35625,0.89821,0.7906,0.6179,2.2435,0.87959,0.0344433,0.000456373,0.000456373
3,2086.04,0.96373,0.8253,1.04196,0.94952,0.93947,0.98115,0.86607,0.63745,0.86044,0.87729,0.00133181,0.000678213,0.000678213
4,2779.12,0.90139,0.72265,1.00892,0.91358,0.99729,0.9898,0.89742,0.5373,0.53428,0.85292,0.000674013,0.000674013,0.000674013
5,3472.54,0.85322,0.65015,0.99713,0.96101,0.99395,0.98769,0.88559,0.53636,0.47949,0.83724,0.00066535,0.00066535,0.00066535
6,4164.75,0.85107,0.61981,0.99488,0.97983,0.99023,0.99162,0.88349,0.50352,0.45122,0.83196,0.000656687,0.000656687,0.000656687
7,4849.21,0.78397,0.57235,0.96362,0.96751,0.99448,0.99012,0.89347,0.48622,0.42878,0.83029,0.000648025,0.000648025,0.000648025
8,5537.62,0.71969,0.53434,0.94304,0.98091,0.9886,0.99292,0.89348,0.60279,0.43354,0.85514,0.000639362,0.000639362,0.000639362
9,6220.14,0.72421,0.52483,0.94399,0.95257,0.99203,0.99018,0.86729,0.58217,0.41684,0.84551,0.0006307,0.0006307,0.0006307
10,6907.82,0.71691,0.5055,0.93959,0.97797,0.98945,0.99304,0.93855,0.37884,0.34871,0.81086,0.000622038,0.000622038,0.000622038
11,7597.68,0.69641,0.48731,0.93738,0.97183,0.99336,0.99221,0.94183,0.38108,0.34893,0.80807,0.000613375,0.000613375,0.000613375
12,8270.03,0.67916,0.48248,0.92931,0.97702,0.99897,0.99141,0.95852,0.31498,0.30144,0.79452,0.000604713,0.000604713,0.000604713
13,8935.23,0.67492,0.46964,0.92185,0.97273,0.98117,0.98934,0.93919,0.33312,0.32995,0.80222,0.00059605,0.00059605,0.00059605
14,9616.31,0.65711,0.46074,0.91942,0.97978,0.99512,0.99391,0.96178,0.30992,0.29533,0.79641,0.000587388,0.000587388,0.000587388
15,10309.2,0.63908,0.44155,0.91174,0.96315,0.99889,0.99104,0.94135,0.34976,0.31529,0.80666,0.000578725,0.000578725,0.000578725
16,10997.2,0.64995,0.4455,0.91755,0.98789,0.98355,0.99328,0.96392,0.28853,0.28024,0.79249,0.000570062,0.000570062,0.000570062
17,11685.6,0.60811,0.42416,0.90669,0.97939,0.9924,0.99308,0.94232,0.39409,0.29985,0.80883,0.0005614,0.0005614,0.0005614
18,12372.7,0.61284,0.41973,0.90473,0.97826,0.99115,0.99012,0.96223,0.2777,0.2851,0.79382,0.000552738,0.000552738,0.000552738
19,13061.9,0.64026,0.42377,0.90703,0.97979,0.98979,0.99329,0.96456,0.29631,0.2717,0.79206,0.000544075,0.000544075,0.000544075
20,13749.9,0.60051,0.40902,0.89684,0.98226,0.99502,0.99362,0.95703,0.32578,0.2665,0.80163,0.000535412,0.000535412,0.000535412
21,14437.7,0.59287,0.40512,0.89468,0.98422,0.99354,0.99441,0.96353,0.29076,0.25216,0.79488,0.00052675,0.00052675,0.00052675
22,15130.5,0.59211,0.40182,0.89762,0.9777,0.98816,0.99167,0.96302,0.30385,0.26778,0.79736,0.000518088,0.000518088,0.000518088
23,15820.7,0.58146,0.38769,0.89263,0.98428,0.98051,0.99125,0.97464,0.25236,0.2528,0.79256,0.000509425,0.000509425,0.000509425
24,16509,0.56023,0.38064,0.88611,0.99222,0.98331,0.99344,0.95765,0.30551,0.25306,0.79621,0.000500763,0.000500763,0.000500763
25,17209,0.54935,0.37342,0.87594,0.9762,0.99866,0.9939,0.96577,0.28846,0.24522,0.79773,0.0004921,0.0004921,0.0004921
26,17898.5,0.56066,0.37883,0.88336,0.99091,0.99081,0.99429,0.96136,0.30163,0.25336,0.79912,0.000483438,0.000483438,0.000483438
27,18589.5,0.57514,0.3783,0.88347,0.99264,0.98483,0.99345,0.95999,0.31134,0.24297,0.79722,0.000474775,0.000474775,0.000474775
28,19270.4,0.54818,0.36452,0.87654,0.9896,0.99048,0.99345,0.97419,0.24972,0.23371,0.79089,0.000466112,0.000466112,0.000466112
29,19960.7,0.56482,0.37253,0.8837,0.98751,0.98418,0.99345,0.97345,0.27005,0.24384,0.79411,0.00045745,0.00045745,0.00045745
30,20654.5,0.52914,0.35719,0.87142,0.98631,0.98333,0.98992,0.97408,0.24505,0.22159,0.78977,0.000448787,0.000448787,0.000448787
31,21339.8,0.5163,0.35173,0.86792,0.98902,0.98537,0.99395,0.97816,0.24465,0.2344,0.79352,0.000440125,0.000440125,0.000440125
32,22034.8,0.51128,0.34604,0.86631,0.98971,0.99162,0.99395,0.96368,0.29884,0.23003,0.79655,0.000431462,0.000431462,0.000431462
33,22720.4,0.50648,0.34621,0.86941,0.98924,0.986,0.99412,0.97548,0.23107,0.21369,0.79258,0.0004228,0.0004228,0.0004228
34,23406,0.51509,0.34431,0.86663,0.98178,0.98613,0.99407,0.96955,0.25358,0.22871,0.79576,0.000414138,0.000414138,0.000414138
35,24100.7,0.52565,0.3479,0.87248,0.98685,0.99355,0.99377,0.9565,0.32362,0.23035,0.80212,0.000405475,0.000405475,0.000405475
36,24785.9,0.52113,0.33996,0.86945,0.98428,0.99477,0.994,0.97674,0.2371,0.21331,0.79254,0.000396813,0.000396813,0.000396813
37,25468.2,0.5056,0.3374,0.86412,0.97875,0.99267,0.99318,0.97451,0.24699,0.21926,0.79287,0.00038815,0.00038815,0.00038815
38,26165.1,0.51848,0.33979,0.86487,0.9786,0.99534,0.9933,0.96634,0.29943,0.23597,0.79918,0.000379487,0.000379487,0.000379487
39,26859.9,0.54029,0.33953,0.86936,0.99299,0.9884,0.99429,0.96487,0.2851,0.2175,0.79553,0.000370825,0.000370825,0.000370825
40,27553,0.48982,0.31936,0.85968,0.98888,0.9904,0.99473,0.9795,0.21877,0.19766,0.79066,0.000362162,0.000362162,0.000362162
41,28237.7,0.46821,0.31384,0.85033,0.9939,0.98954,0.9945,0.98116,0.23083,0.20244,0.79025,0.0003535,0.0003535,0.0003535
42,28894.9,0.47438,0.32647,0.85842,0.98473,0.99072,0.99473,0.97665,0.22967,0.20233,0.79419,0.000344838,0.000344838,0.000344838
43,29525.7,0.47154,0.31759,0.85536,0.98709,0.99392,0.99442,0.97856,0.22388,0.20691,0.78986,0.000336175,0.000336175,0.000336175
44,30170.5,0.46523,0.31371,0.85477,0.9859,0.99107,0.99442,0.98156,0.2183,0.19631,0.79049,0.000327513,0.000327513,0.000327513
45,30820.7,0.4899,0.3184,0.85853,0.98466,0.99827,0.99384,0.97123,0.24276,0.21071,0.79214,0.00031885,0.00031885,0.00031885
46,31486.7,0.49016,0.31856,0.8581,0.98472,0.99176,0.99473,0.9795,0.19065,0.18987,0.7873,0.000310187,0.000310187,0.000310187
47,32169.6,0.45983,0.3072,0.85014,0.98901,0.99095,0.99473,0.97793,0.23488,0.19879,0.78906,0.000301525,0.000301525,0.000301525
48,32857,0.44722,0.30127,0.85224,0.98874,0.99292,0.99499,0.97778,0.2309,0.1969,0.7912,0.000292862,0.000292862,0.000292862
49,33554.5,0.45321,0.30631,0.85144,0.99287,0.98866,0.99405,0.9811,0.20002,0.17747,0.7877,0.0002842,0.0002842,0.0002842
50,34565.7,0.44763,0.30425,0.85042,0.99122,0.98789,0.99472,0.981,0.21436,0.18975,0.7895,0.000275537,0.000275537,0.000275537
51,35628.2,0.46215,0.30693,0.85098,0.99046,0.99525,0.995,0.97994,0.22214,0.18237,0.79037,0.000266875,0.000266875,0.000266875
52,36694.5,0.44077,0.30024,0.84836,0.98997,0.99669,0.99476,0.98089,0.19917,0.17891,0.791,0.000258213,0.000258213,0.000258213
53,37646.1,0.4218,0.29088,0.83896,0.98495,0.99656,0.99499,0.98182,0.2028,0.18216,0.79009,0.00024955,0.00024955,0.00024955
54,38443.2,0.41902,0.28352,0.83819,0.98515,0.99608,0.99441,0.98295,0.18629,0.17874,0.78998,0.000240888,0.000240888,0.000240888
55,39130.1,0.4464,0.29404,0.84246,0.9919,0.99107,0.99437,0.9802,0.18881,0.17328,0.78948,0.000232225,0.000232225,0.000232225
